#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1	ул. Ленина, д. 68, Черногорск	1951	Есть	Нет	Согласно Постановления Правительства Хакасии №102 от 14.03.2014 года установлены следующие сроки проведения капитального ремонта в МКД и выбраны операторы для внесения средств на капитальный ремонт.	12	Не присвоен	2	2	1	815.00	72.10	887.10	776.00	0.00	1-464	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Печное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Сайдинг	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
2	ул. Советская, д. 65, Черногорск	1955	Есть	Нет	18	Не присвоен	3	2	1	1 319.00	104.80	1 423.80	1 280.00	0.00	1-464	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Деревянные	Сайдинг	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3	ул. Орлова, д. 30, Черногорск	1987	Есть	Нет	Согласно Постановления Правительства Хакасии №102 от 14.03.2014 года установлены следующие сроки проведения капитального ремонта в МКД и выбраны операторы для внесения средств на капитальный ремонт.	8	Не присвоен	1	2	1	1	504.00	403.00	907.00	518.00	0.00	индивидуальной застройки	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	366.30	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
4	ул. Орлова, д. 30-а, Черногорск	1986	Нет	523.30
60	ул. Пушкина, д. 30, Белый Яр	1981	Не имеется	Нет	37	D	3	1	1	666.00	0.00	268.70	1 383.00	0.00	1-к	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Приточная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Деревянные	Иной	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
61	ул. Мира, д. 10, Белый Яр	1	Нет	2	2	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
62	ул. Мира, д. 2, Белый Яр	1	Нет	2	2	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
63	ул. Мира, д. 4, Белый Яр	1	Нет	2	2	Многоквартирный дом	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
64	ул. Мира, д. 4а, Белый Яр	1	Нет	2	2	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
65	ул. Мира, д. 6а, Белый Яр	1	Нет	2	2	Многоквартирный дом	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома	Несущие стены
66	ул. Мира, д. 6, Белый Яр	1	Нет	2	2	Многоквартирный дом	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
67	ул. Октябрьская, д. 53, Белый Яр	1964	Нет	80.60	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
68	ул. Октябрьская, д. 55, Белый Яр	1969	Нет	63.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
69	ул. Аткниных, д. 4, Белый Яр	1951	Нет	1	76.00	Отсутствует	Отсутствует	Отсутствует	Печное	Отсутствует	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Несущие стены	Перекрытия
70	ул. Аткниных, д. 76, Белый Яр	1973	Нет	1	64.40	Отсутствует	Отсутствует	Отсутствует	Печное	Отсутствует	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
71	ул. Аткниных, д. 87, Белый Яр	1961	Нет	1	73.00	Отсутствует	Отсутствует	Отсутствует	Печное	Отсутствует	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
72	ул. Аткниных, д. 91, Белый Яр	1955	Нет	1	83.51	Отсутствует	Отсутствует	Отсутствует	Печное	Отсутствует	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
73	ул. Аткниных, д. 101, Белый Яр	1962	Нет	1	66.00	Отсутствует	Отсутствует	Отсутствует	Печное	Отсутствует	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
74	ул. Щетинкина, д. 1к, Белый Яр	1989	Нет	1	152.25	Отсутствует	Отсутствует	Отсутствует	Печное	Отсутствует	Центральное	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
75	ул. Щетинкина, д. 13, Белый Яр	1950	Нет	1	56.00	Отсутствует	Отсутствует	Отсутствует	Печное	Отсутствует	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
76	ул. Ленина, д. 203, Белый Яр	1953	Нет	1	80.00	Отсутствует	Отсутствует	Отсутствует	Печное	Отсутствует	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
77	ул. Ленина, д. 259, Белый Яр	1980	Нет	83.44	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
78	ул. Ленина, д. 178а, Белый Яр	1958	Нет	329.90	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
79	ул. Ленина, д. 249, Белый Яр	1940	Нет	1	89.00	Отсутствует	Отсутствует	Отсутствует	Печное	Отсутствует	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
80	ул. Ленина, д. 255, Белый Яр	1978	Нет	1	132.00	Отсутствует	Отсутствует	Отсутствует	Печное	Отсутствует	Центральное	Смешанные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
